Iteration 36: Cumulative error: 147.204; Best error: 147.204; P: 0.313866; I: 0.0194341; D: 0.33275
Iteration 1: Cumulative error: 539.312; Best error: 1.79769e+308; P: 0.115; I: 0.009; D: 0.1
Iteration 2: Cumulative error: 425.324; Best error: 1.79769e+308; P: 0.14; I: 0.009; D: 0.1
Iteration 4: Cumulative error: 339.791; Best error: 1.79769e+308; P: 0.19; I: 0.009; D: 0.1
Iteration 5: Cumulative error: 276.897; Best error: 1.79769e+308; P: 0.215; I: 0.009; D: 0.1
Iteration 1: Cumulative error: 247.765; Best error: 1.79769e+308; P: 0.24; I: 0.009; D: 0.1
Iteration 2: Cumulative error: 257.402; Best error: 257.402; P: 0.265; I: 0.009; D: 0.1
Iteration 3: Cumulative error: 286.449; Best error: 257.402; P: 0.215; I: 0.009; D: 0.1
Iteration 4: Cumulative error: 238.062; Best error: 238.062; P: 0.19; I: 0.009; D: 0.1
Iteration 5: Cumulative error: 263.884; Best error: 238.062; P: 0.215; I: 0.009; D: 0.1
Iteration 6: Cumulative error: 250.872; Best error: 238.062; P: 0.215; I: 0.009; D: 0.125
Iteration 7: Cumulative error: 237.057; Best error: 237.057; P: 0.215; I: 0.009; D: 0.15
Iteration 8: Cumulative error: 242.072; Best error: 237.057; P: 0.215; I: 0.009; D: 0.1
Iteration 9: Cumulative error: 239.677; Best error: 237.057; P: 0.215; I: 0.009; D: 0.125
Iteration 10: Cumulative error: 244.616; Best error: 237.057; P: 0.215; I: 0.014; D: 0.125
Iteration 11: Cumulative error: 223.6; Best error: 223.6; P: 0.215; I: 0.019; D: 0.125
Iteration 12: Cumulative error: 206.846; Best error: 206.846; P: 0.215; I: 0.024; D: 0.125
Iteration 13: Cumulative error: 220.779; Best error: 206.846; P: 0.215; I: 0.014; D: 0.125
Iteration 14: Cumulative error: 212.861; Best error: 206.846; P: 0.215; I: 0.019; D: 0.125
Iteration 15: Cumulative error: 208.241; Best error: 206.846; P: 0.24; I: 0.019; D: 0.125
Iteration 16: Cumulative error: 219.778; Best error: 206.846; P: 0.19; I: 0.019; D: 0.125
Iteration 17: Cumulative error: 202.178; Best error: 202.178; P: 0.165; I: 0.019; D: 0.125
Iteration 18: Cumulative error: 198.425; Best error: 198.425; P: 0.14; I: 0.019; D: 0.125
Iteration 19: Cumulative error: 221.811; Best error: 198.425; P: 0.165; I: 0.019; D: 0.125
Iteration 20: Cumulative error: 211.297; Best error: 198.425; P: 0.165; I: 0.019; D: 0.15
Iteration 21: Cumulative error: 208.196; Best error: 198.425; P: 0.165; I: 0.019; D: 0.1
Iteration 22: Cumulative error: 305.27; Best error: 198.425; P: 0.165; I: 0.019; D: 0.125
Iteration 23: Cumulative error: 287.146; Best error: 198.425; P: 0.165; I: 0.024; D: 0.125
Iteration 24: Cumulative error: 196.69; Best error: 196.69; P: 0.165; I: 0.029; D: 0.125
Iteration 25: Cumulative error: 231.483; Best error: 196.69; P: 0.165; I: 0.019; D: 0.125
Iteration 26: Cumulative error: 201.465; Best error: 196.69; P: 0.165; I: 0.024; D: 0.125
Iteration 27: Cumulative error: 218.088; Best error: 196.69; P: 0.19; I: 0.024; D: 0.125
Iteration 28: Cumulative error: 201.816; Best error: 196.69; P: 0.14; I: 0.024; D: 0.125
Iteration 29: Cumulative error: 209.808; Best error: 196.69; P: 0.165; I: 0.024; D: 0.125
Iteration 30: Cumulative error: 219.85; Best error: 196.69; P: 0.165; I: 0.024; D: 0.15
Iteration 31: Cumulative error: 191.294; Best error: 191.294; P: 0.165; I: 0.024; D: 0.175
Iteration 32: Cumulative error: 183.914; Best error: 183.914; P: 0.165; I: 0.024; D: 0.2
Iteration 33: Cumulative error: 181.45; Best error: 181.45; P: 0.165; I: 0.024; D: 0.225
Iteration 34: Cumulative error: 172.308; Best error: 172.308; P: 0.165; I: 0.024; D: 0.25
Iteration 35: Cumulative error: 177.945; Best error: 172.308; P: 0.165; I: 0.024; D: 0.2
Iteration 36: Cumulative error: 184.079; Best error: 172.308; P: 0.165; I: 0.024; D: 0.225
Iteration 37: Cumulative error: 183.742; Best error: 172.308; P: 0.165; I: 0.029; D: 0.225
Iteration 38: Cumulative error: 152.752; Best error: 152.752; P: 0.165; I: 0.034; D: 0.225
Iteration 39: Cumulative error: 136.981; Best error: 136.981; P: 0.165; I: 0.039; D: 0.225
Iteration 40: Cumulative error: 136.184; Best error: 136.184; P: 0.165; I: 0.044; D: 0.225
Iteration 41: Cumulative error: 143.648; Best error: 136.184; P: 0.165; I: 0.034; D: 0.225
Iteration 42: Cumulative error: 162.976; Best error: 136.184; P: 0.165; I: 0.039; D: 0.225
Iteration 43: Cumulative error: 142.846; Best error: 136.184; P: 0.19; I: 0.039; D: 0.225
